"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value"
"CHEMBL465";"DRONABINOL";"4.0";"314.47";"1";"5.74";"delta9-THC";"CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21";"EC50";"'='";"1.5";"nM";"8.82";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL953974";"Agonist activity at cloned human CB2 receptor in Sf9 cells assessed as stimulation of [35S]GTPgammaS binding assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Sf9";"None";"";"";"";"CHEMBL253";"Cannabinoid CB2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1157439";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"CHEMBL3308860";"";"";""
"CHEMBL2336528";"";"None";"436.58";"1";"5.08";"47";"COc1ccc(S(=O)(=O)N(Cc2ccc(N3CCCCC3)cc2)c2ccccc2)cc1";"EC50";"'='";"49.0";"nM";"7.31";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL2341542";"Inverse agonist activity at human CB2 receptor expressed in CHO cell membranes assessed as inhibition of forskolin-stimulated cAMP production after 45 mins by TR-FRET assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL253";"Cannabinoid CB2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2331513";"1";"Scientific Literature";"ACS Med Chem Lett";"2013";"CHEMBL3308072";"";"";""
"CHEMBL486438";"";"None";"393.53";"0";"4.86";"14a";"CCN(CC)C(=O)c1ccc2c(c1)nc(Cc1ccc(O)cc1)n2CCC(C)C";"EC50";"";"";"";"";"";"Not Determined";"";"";"";"";"";"0";"CHEMBL953974";"Agonist activity at cloned human CB2 receptor in Sf9 cells assessed as stimulation of [35S]GTPgammaS binding assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Sf9";"None";"";"";"";"CHEMBL253";"Cannabinoid CB2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1157439";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"CHEMBL3308860";"";"";""
"CHEMBL471980";"";"None";"421.59";"1";"5.55";"9a";"CCOc1ccc(Cc2nc3cc(C(=O)N(CC)CC)ccc3n2CCC(C)C)cc1";"EC50";"'='";"2.9";"nM";"8.54";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL953974";"Agonist activity at cloned human CB2 receptor in Sf9 cells assessed as stimulation of [35S]GTPgammaS binding assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Sf9";"None";"";"";"";"CHEMBL253";"Cannabinoid CB2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1157439";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"CHEMBL3308860";"";"";""
"CHEMBL251003";"";"None";"485.69";"0";"5.00";"59";"CCS(=O)(=O)n1c2c(c3cc(C(=O)N4CCC(C)CC4)ccc31)CN(CCC1CCCCC1)C2";"EC50";"";"";"";"";"";"Not Determined";"";"";"";"";"";"0";"CHEMBL924304";"Agonist activity at human CB2 receptor by GTPgamma[35S] assay";"F";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL253";"Cannabinoid CB2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140510";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2007";"None";"";"";""
"CHEMBL559612";"CP-55940";"None";"376.58";"1";"5.66";"3, CP-55940";"CCCCCCC(C)(C)c1ccc([C@@H]2C[C@H](O)CC[C@H]2CCCO)c(O)c1";"EC50";"'='";"0.7943";"nM";"9.10";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1832982";"Agonist activity at human CB2 receptor expressed in CHO cells assessed as increase of forskolin-stimulated cAMP accumulation after 20 mins";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL253";"Cannabinoid CB2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1828497";"1";"Scientific Literature";"Eur J Med Chem";"2011";"CHEMBL3308072";"";"";""
"CHEMBL1835216";"";"None";"440.52";"0";"3.14";"38";"CC(C)CN1C(=O)CN(Cc2ccc(-c3ccc(F)c(CN4CCOCC4)n3)cc2)C1=O";"EC50";"'='";"7.943";"nM";"8.10";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1837353";"Agonist activity at human recombinant CB2 receptor expressed in CHO cells assessed as inhibition of forskolin-induced cAMP formation after 45 mins by fluorescence assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL253";"Cannabinoid CB2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1833934";"1";"Scientific Literature";"J Med Chem";"2011";"CHEMBL3308072";"";"";""
"CHEMBL1835128";"";"None";"446.47";"0";"4.06";"26";"O=C1CN(Cc2ccc(-c3cccc(CN4CCCCC4)n3)cc2)C(=O)N1CC(F)(F)F";"EC50";"'='";"3.162";"nM";"8.50";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1837353";"Agonist activity at human recombinant CB2 receptor expressed in CHO cells assessed as inhibition of forskolin-induced cAMP formation after 45 mins by fluorescence assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL253";"Cannabinoid CB2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1833934";"1";"Scientific Literature";"J Med Chem";"2011";"CHEMBL3308072";"";"";""
"CHEMBL463860";"";"None";"413.83";"0";"4.65";"8b";"O=C(NCC1CCOCC1)c1cnc(Nc2cccc(Cl)c2)cc1C(F)(F)F";"EC50";"'='";"251.19";"nM";"6.60";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1014610";"Agonist activity at human CB2 receptor expressed in yeast cells assessed as degradation of FDGlu to fluorescein after 24 hrs";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL253";"Cannabinoid CB2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139246";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2009";"None";"";"";""
"CHEMBL571333";"";"None";"365.26";"1";"5.13";"22";"O=C(O)c1cc(-c2cccc(Cl)c2Cl)cnc1N1CCCCCC1";"EC50";"'='";"1584.89";"nM";"5.80";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1043502";"Agonist activity at human CB2 receptor expressed in yeast cells";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL253";"Cannabinoid CB2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1156134";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2009";"None";"";"";""
